scenario,beacons,trial,target_x,target_y,estimate_x,estimate_y,error,beacon_position_rmse,beacon_yaw_rmse,cost,iterations,runtime_ms,solver_converged,success
1,2,7,1.20000000,-0.75000000,1.20163057,-0.75137088,0.00213028,0.00418021,0.00134046,327.84101459,4,4.37600000,1,1
1,2,8,1.20000000,-0.75000000,1.19880052,-0.75135867,0.00181239,0.00070792,0.00018735,330.27387022,9,6.62900000,1,1
1,2,9,1.20000000,-0.75000000,1.19901602,-0.74947987,0.00111300,0.00086961,0.00011559,347.92708276,4,4.89800000,1,1
1,2,10,1.20000000,-0.75000000,1.20177355,-0.74873574,0.00217803,0.00241253,0.00128727,310.59040621,4,4.61400000,1,1
1,2,11,1.20000000,-0.75000000,1.20202628,-0.75174880,0.00267659,0.00188407,0.00094061,338.10763526,4,4.11700000,1,1
1,2,12,1.20000000,-0.75000000,1.19979423,-0.75095768,0.00097953,0.00282062,0.00086431,312.43959760,4,3.79100000,1,1
1,2,13,1.20000000,-0.75000000,1.20000130,-0.75072030,0.00072030,0.00404575,0.00099673,347.21727766,4,3.78100000,1,1
1,2,14,1.20000000,-0.75000000,1.19874278,-0.74993699,0.00125880,0.00270263,0.00108159,346.90138281,4,3.62200000,1,1
1,2,15,1.20000000,-0.75000000,1.20585430,-0.74519885,0.00757126,0.00396131,0.00163472,333.13344521,5,3.60300000,1,1
1,2,16,1.20000000,-0.75000000,1.20250095,-0.74739881,0.00360846,0.00193698,0.00091490,327.67229992,4,3.83100000,1,1
1,2,17,1.20000000,-0.75000000,1.19969258,-0.75294282,0.00295883,0.00192210,0.00047868,323.28872930,5,2.95900000,1,1
1,2,18,1.20000000,-0.75000000,1.20191900,-0.74721389,0.00338304,0.00234012,0.00099051,272.82943237,4,2.58500000,1,1
1,2,19,1.20000000,-0.75000000,1.20481818,-0.74953968,0.00484012,0.00403553,0.00077201,316.65456917,8,4.06400000,1,1
1,2,20,1.20000000,-0.75000000,1.20012688,-0.75084954,0.00085896,0.00105747,0.00051108,334.94212191,4,2.57500000,1,1
1,2,21,1.20000000,-0.75000000,1.20152237,-0.74413328,0.00606102,0.00218941,0.00094866,333.31298918,4,2.45500000,1,1
1,2,22,1.20000000,-0.75000000,1.19935990,-0.75010770,0.00064910,0.00224997,0.00110688,335.34084666,4,2.48800000,1,1
1,2,23,1.20000000,-0.75000000,1.20414025,-0.74626430,0.00557648,0.00462847,0.00192591,301.56809072,4,2.49400000,1,1
1,2,24,1.20000000,-0.75000000,1.19719928,-0.75248102,0.00374159,0.00346977,0.00067818,288.44360522,5,2.89600000,1,1
1,2,25,1.20000000,-0.75000000,1.19884092,-0.75169786,0.00205577,0.00220876,0.00055630,291.81518783,4,2.48200000,1,1
1,2,26,1.20000000,-0.75000000,1.19579211,-0.75403891,0.00583259,0.00334443,0.00083042,286.13612605,4,2.48500000,1,1
1,2,27,1.20000000,-0.75000000,1.19974789,-0.75364747,0.00365617,0.00323016,0.00193267,313.22963635,4,2.48800000,1,1
1,2,28,1.20000000,-0.75000000,1.20510725,-0.74881236,0.00524351,0.00165362,0.00080834,312.69032180,4,2.48400000,1,1
1,2,29,1.20000000,-0.75000000,1.19515487,-0.75029795,0.00485429,0.00289666,0.00096912,343.27794151,4,2.46800000,1,1
1,2,30,1.20000000,-0.75000000,1.20227955,-0.75227257,0.00321884,0.00138855,0.00054961,349.96516560,4,2.49800000,1,1
1,2,31,1.20000000,-0.75000000,1.20150707,-0.74500013,0.00522207,0.00225336,0.00085205,315.70189557,4,2.48900000,1,1
1,2,32,1.20000000,-0.75000000,1.20247212,-0.74519513,0.00540353,0.00236887,0.00073093,343.18708358,4,2.48500000,1,1
1,2,33,1.20000000,-0.75000000,1.19941064,-0.74666878,0.00338296,0.00202354,0.00090287,301.45380265,4,2.48000000,1,1
1,2,34,1.20000000,-0.75000000,1.19866737,-0.74710973,0.00318270,0.00134730,0.00043278,314.59200970,4,2.47900000,1,1
1,2,35,1.20000000,-0.75000000,1.20198753,-0.74711871,0.00350030,0.00339803,0.00082038,336.14246726,4,2.48700000,1,1
1,2,36,1.20000000,-0.75000000,1.19765743,-0.74975740,0.00235510,0.00070493,0.00098806,325.08689711,4,2.48600000,1,1
1,2,37,1.20000000,-0.75000000,1.20345281,-0.75083869,0.00355321,0.00312582,0.00067819,309.71899982,4,2.50400000,1,1
1,2,38,1.20000000,-0.75000000,1.19909078,-0.75038861,0.00098879,0.00198826,0.00084261,291.32553942,4,2.47900000,1,1
1,2,39,1.20000000,-0.75000000,1.19909469,-0.75257131,0.00272602,0.00222047,0.00020825,292.92665142,4,2.49300000,1,1
1,2,40,1.20000000,-0.75000000,1.20015509,-0.74682952,0.00317427,0.00314318,0.00056106,303.64828032,4,2.50700000,1,1
1,2,41,1.20000000,-0.75000000,1.19473481,-0.75059197,0.00529836,0.00154928,0.00088270,316.06626570,5,2.94000000,1,1
1,2,42,1.20000000,-0.75000000,1.19785887,-0.75135040,0.00253140,0.00384556,0.00181840,294.22709879,5,2.83700000,1,1
1,2,43,1.20000000,-0.75000000,1.19957448,-0.75485206,0.00487068,0.00236927,0.00103458,287.28368661,4,2.46100000,1,1
1,2,44,1.20000000,-0.75000000,1.20341211,-0.74210179,0.00860374,0.00294889,0.00163283,307.65039693,11,5.02800000,1,1
1,2,45,1.20000000,-0.75000000,1.19920293,-0.74946557,0.00095966,0.00318574,0.00083179,287.28234186,4,2.52200000,1,1
1,2,46,1.20000000,-0.75000000,1.19727071,-0.75225513,0.00354043,0.00156649,0.00041976,308.97444952,5,2.84900000,1,1
1,2,47,1.20000000,-0.75000000,1.20114958,-0.75134126,0.00176650,0.00098788,0.00110975,325.17493205,4,2.46800000,1,1
1,2,48,1.20000000,-0.75000000,1.19742567,-0.74850342,0.00297774,0.00114983,0.00070927,312.68732425,10,4.69000000,1,1
1,2,49,1.20000000,-0.75000000,1.19963504,-0.75162781,0.00166822,0.00255558,0.00089127,310.67578464,4,2.50700000,1,1
1,2,50,1.20000000,-0.75000000,1.19351943,-0.75019464,0.00648349,0.00266098,0.00039889,299.63720507,4,2.54700000,1,1
1,2,51,1.20000000,-0.75000000,1.19920108,-0.75095870,0.00124795,0.00156232,0.00051250,315.65135810,4,2.50100000,1,1
1,2,52,1.20000000,-0.75000000,1.20550746,-0.75049406,0.00552958,0.00392617,0.00100555,289.68351299,4,2.59400000,1,1
1,2,53,1.20000000,-0.75000000,1.20221100,-0.75134225,0.00258654,0.00253542,0.00146258,319.42989091,4,2.62700000,1,1
1,2,54,1.20000000,-0.75000000,1.20408816,-0.75063124,0.00413660,0.00209054,0.00114748,304.04221382,4,2.52900000,1,1
1,2,55,1.20000000,-0.75000000,1.19907789,-0.75200539,0.00220724,0.00247541,0.00022885,296.32704953,4,2.49800000,1,1
1,2,56,1.20000000,-0.75000000,1.20084327,-0.74887903,0.00140274,0.00158426,0.00005678,273.12131681,7,3.85400000,1,1
1,2,57,1.20000000,-0.75000000,1.20032990,-0.74936696,0.00071385,0.00096579,0.00050435,310.16107719,4,2.56300000,1,1
1,2,58,1.20000000,-0.75000000,1.19764872,-0.75231590,0.00330028,0.00435124,0.00098673,304.95576633,4,2.54600000,1,1
1,2,59,1.20000000,-0.75000000,1.19911939,-0.74895937,0.00136323,0.00229195,0.00059703,328.48847361,80,38.88300000,0,1
1,2,60,1.20000000,-0.75000000,1.19637217,-0.75115853,0.00380833,0.00333209,0.00112537,331.20420442,4,3.60100000,1,1
1,2,61,1.20000000,-0.75000000,1.19856901,-0.74864697,0.00196938,0.00222867,0.00039993,318.82961219,4,3.46300000,1,1
1,2,62,1.20000000,-0.75000000,1.19748557,-0.75200772,0.00321766,0.00289563,0.00113435,299.39061338,4,3.05400000,1,1
1,2,63,1.20000000,-0.75000000,1.19516444,-0.75169146,0.00512286,0.00402306,0.00089271,301.10870231,4,2.57200000,1,1
1,2,64,1.20000000,-0.75000000,1.19851722,-0.74990227,0.00148600,0.00322667,0.00066101,313.92398391,8,3.96000000,1,1
1,2,65,1.20000000,-0.75000000,1.20020597,-0.74734496,0.00266301,0.00404600,0.00140031,321.93501674,4,2.53700000,1,1
